Time,Signal strength (dBm)
130.489377,-33 dBm
130.796428,-35 dBm
131.103441,-34 dBm
131.41083,-35 dBm
131.718085,-35 dBm
132.025664,-35 dBm
132.332406,-34 dBm
132.639519,-36 dBm
132.947248,-35 dBm
133.254121,-35 dBm
133.561124,-35 dBm
133.868489,-34 dBm
134.175565,-34 dBm
134.482751,-35 dBm
134.790389,-34 dBm
135.097065,-34 dBm
135.404671,-34 dBm
136.018547,-35 dBm
136.633008,-33 dBm
136.940278,-32 dBm
137.247483,0 dBm
137.555086,-33 dBm
137.861911,-32 dBm
138.169049,-34 dBm
138.476787,-33 dBm
138.785084,-35 dBm
139.090619,-33 dBm
139.398216,-34 dBm
139.70515,-36 dBm
140.012759,-35 dBm
140.319477,-33 dBm
140.626531,-34 dBm
141.241043,-35 dBm
141.548723,-34 dBm
141.855557,-33 dBm
142.162585,-34 dBm
142.470231,-35 dBm
142.777121,-33 dBm
143.084226,-33 dBm
143.69855,-34 dBm
144.005922,-35 dBm
144.313101,-35 dBm
144.927409,0 dBm
145.234711,-34 dBm
145.542146,-32 dBm
145.848995,-32 dBm
146.155997,-33 dBm
146.463856,-33 dBm
146.770526,-33 dBm
147.077878,-32 dBm
147.385048,-33 dBm
147.692112,-33 dBm
148.306974,-34 dBm
148.613684,-33 dBm
148.920927,-35 dBm
149.228039,-33 dBm
149.535333,-33 dBm
149.843319,-32 dBm
150.150011,-34 dBm
150.457374,-33 dBm
150.764096,-33 dBm
151.071466,-32 dBm
151.378651,-33 dBm
151.685657,-34 dBm
151.993338,-35 dBm
152.607721,0 dBm
152.914925,-35 dBm
153.221494,-33 dBm
153.528988,-34 dBm
153.83694,-33 dBm
154.143201,-34 dBm
154.450932,-35 dBm
154.757734,-33 dBm
155.065208,-33 dBm
155.372031,-34 dBm
155.679153,-32 dBm
155.986915,-33 dBm
156.293692,-33 dBm
156.600425,-32 dBm
156.91082,-33 dBm
157.215145,-32 dBm
157.829484,-33 dBm
158.137253,-35 dBm
158.444005,-34 dBm
158.751106,-34 dBm
159.058852,-34 dBm
159.365658,-35 dBm
159.672628,-34 dBm
160.288528,0 dBm
160.594812,-32 dBm
160.901544,-34 dBm
161.516308,-33 dBm
161.823146,-34 dBm
162.130692,-32 dBm
162.437902,-33 dBm
162.744654,-34 dBm
163.052388,-33 dBm
163.359238,-31 dBm
163.666278,-32 dBm
163.973872,-33 dBm
164.280496,-33 dBm
164.895201,-33 dBm
165.202199,-35 dBm
165.508845,-33 dBm
165.816739,-34 dBm
166.123826,-34 dBm
166.431176,-34 dBm
166.738168,-34 dBm
167.045966,-34 dBm
167.35273,-36 dBm
167.659875,-35 dBm
167.966729,0 dBm
168.274141,-33 dBm
168.581789,-34 dBm
169.19578,-33 dBm
169.503116,-33 dBm
169.810188,-34 dBm
170.117794,-33 dBm
170.425058,-32 dBm
170.731743,-32 dBm
171.039455,-32 dBm
171.345998,-32 dBm
171.653746,-33 dBm
171.961009,-32 dBm
172.26775,-34 dBm
172.575334,-34 dBm
172.882052,-35 dBm
173.189731,-34 dBm
173.496717,-33 dBm
173.8037,-34 dBm
174.417657,-33 dBm
174.725257,-35 dBm
175.031893,-35 dBm
175.339657,-35 dBm
175.647067,0 dBm
175.954269,-33 dBm
176.261245,-35 dBm
176.568969,-35 dBm
176.875576,-35 dBm
177.183371,-34 dBm
177.490096,-33 dBm
177.797232,-35 dBm
178.10485,-33 dBm
178.411791,-33 dBm
178.719336,-35 dBm
179.025989,-34 dBm
179.333703,-35 dBm
179.640923,-34 dBm
179.948436,-37 dBm
180.254706,-35 dBm
180.5624,-34 dBm
180.86912,-32 dBm
181.17689,-33 dBm
181.790845,-33 dBm
182.097914,-33 dBm
182.405316,-34 dBm
182.712866,-33 dBm
183.020063,-34 dBm
183.326613,0 dBm
183.634359,-32 dBm
183.941289,-34 dBm
184.24846,-34 dBm
184.555915,-33 dBm
184.862689,-34 dBm
185.170427,-33 dBm
185.784309,-34 dBm
186.091599,-33 dBm
186.398715,-33 dBm
187.013182,-31 dBm
187.320166,-32 dBm
187.627691,-31 dBm
187.934763,-33 dBm
188.241927,-34 dBm
188.549571,-33 dBm
188.856246,-33 dBm
189.163866,-33 dBm
189.470776,-34 dBm
189.777868,-34 dBm
190.085459,-33 dBm
190.392203,-32 dBm
190.699941,-34 dBm
191.007085,0 dBm
191.31369,-35 dBm
191.621091,-34 dBm
191.928336,-33 dBm
192.235943,-35 dBm
192.54313,-32 dBm
192.849749,-33 dBm
193.157523,-32 dBm
193.464345,-32 dBm
193.771619,-31 dBm
194.078683,-34 dBm
194.385869,-32 dBm
194.693502,-33 dBm
195.000302,-34 dBm
195.307404,-34 dBm
195.614581,-33 dBm
195.921737,-33 dBm
196.229451,-31 dBm
196.53628,-33 dBm
196.843186,-32 dBm
197.150559,-34 dBm
197.457708,-31 dBm
197.765448,-32 dBm
198.072587,-32 dBm
198.379317,-34 dBm
198.687008,0 dBm
198.99384,-33 dBm
199.301408,-32 dBm
199.608296,-33 dBm
199.915128,-33 dBm
